fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220611 231838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	195	TRUE	0.077844092506723	0.420843333620949	2091	310	0.0138868663242756	0.168276103885168	77.6682906928074	13438000	63
20220611 231902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	137	TRUE	0.0503018861661632	0.383569103716764	2805	1022	0.0154845084650773	22.7280299758054	96.7721780881675	12648000	64
20220611 231938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	315	TRUE	0.0515571102003329	0.303950154798089	8000	1019	0.0199292068124023	0.062319268596105	78.6214887306774	13465000	65
20220611 232035	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	589	TRUE	0.0381672881377149	0.272829853344502	7992	958	0.0144271029453709	0.0538348961921386	76.559733072328	13693000	66
20220611 232043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.123760033478213	0.998768770779059	33	74	0.0262530905779325	50.2190807395265	77.7337073181621	11267000	67
20220611 232113	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	45	TRUE	0.0585292336369822	0.440626159763933	6	582	0.0134260897719253	0.296214434422895	82.9988008918674	12931000	68
20220611 232126	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	42	TRUE	0.230344393499383	0.565121737788562	2691	396	0.0175295668131639	0.687024250155386	82.3239985805491	13657000	69
20220611 232142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	116	TRUE	0.190695348059568	0.223404666874949	7832	792	0.0169487347727772	3.68595792810063	76.3670515071337	13091000	70
20220611 232204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	76	TRUE	0.247040959721607	0.48669778648832	3077	88	0.0138100134141531	0.465062593596498	48.3624118328604	13019000	71
20220611 232240	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	379	TRUE	0.0827780976548325	0.206120820871116	6458	1024	0.014137588784809	0.119336753482412	84.2390740694468	13446000	72
20220611 232433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	994	TRUE	0.0117191388122308	0.339206999297379	8000	856	0.0175156124236257	6.33407788860162	17.2207719084612	13334000	73
20220611 232447	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	67	TRUE	0.234713569956104	0.298192223489955	2923	490	0.0132988425806898	0.920961528541243	86.2014193495738	13621000	74
20220611 232516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	93	TRUE	0.0108749317174254	0.872306428766525	80	911	0.00839220793421717	76.4541891107227	76.0387994709814	11131000	75
20220611 232529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	56	TRUE	0.0969317021273602	0.810506402653516	1206	626	0.0167142971453212	1.75575314645995	88.118047249061	13220000	76
20220611 232545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	70	TRUE	0.09548940637985	0.200785135042442	1550	829	0.0112697719307491	0.0273318644683413	14.4096035719443	12910000	77
20220611 232908	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	2674	TRUE	0.0102180705398239	0.272995088638549	7983	1018	0.0163043739626111	31.1228085432434	50.3946657485858	12495000	78
20220611 233010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	486	TRUE	0.0250189582230946	0.420917193016715	7988	626	0.0190795917584308	0.124877762156748	40.9230096689629	13106000	79
20220611 233033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	288	TRUE	0.0704869742076135	0.717776444782019	7992	978	0.0151032147896211	0.0148998103229148	85.365936780739	13189000	80
20220611 233047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	57	TRUE	0.23296482485584	0.396119058211745	1498	490	0.0148512385002662	0.580034728321656	84.6225223499712	13435000	81
20220611 233105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	108	TRUE	0.299189100229499	0.422179395367529	3025	509	0.0190706233593751	6.07633948634858	86.7227976448235	13403000	82
20220611 233129	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	187	TRUE	0.129698120594522	0.431214764009346	2721	415	0.0146917930700373	10.3279937241099	92.2320864705338	13571000	83
20220611 233200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	273	TRUE	0.0946227421999584	0.252820511988856	3011	761	0.0144973802850901	0.326528047031545	83.2480374442873	13489000	84
20220611 233242	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	305	TRUE	0.0602924012981798	0.359499816553402	7618	477	0.0145085708787414	6.34059931886174	1.21521770438446	13441000	85
20220611 233303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	182	TRUE	0.228717227396336	0.200293782736294	2196	994	0.00840746788785126	0.124718313581736	95.3910545864705	11708000	86
20220611 233315	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	44	TRUE	0.247222665035314	0.581625378365366	3099	381	0.0235231772356868	11.5812065768282	81.0364038800705	12689000	87
20220611 233334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	106	TRUE	0.111771658315935	0.226207869165919	439	1017	0.0198139481140684	3.33128492986416	93.8022609876337	12979000	88
20220611 233413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	389	TRUE	0.067528502425168	0.3068748421116	7907	553	0.0140922555192669	1.55173281272151	80.5869455997729	13729000	89
20220611 233521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	427	TRUE	0.014017322364399	0.323088699953816	558	389	0.0140807713281686	9.07075085037427	0.0963744600803966	13368000	90
20220611 233607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	0.0100601228911776	0.241367292761582	1101	237	0.0086639727504051	9.2490949277803	0.383620739603514	12346000	91
20220611 233626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	88	TRUE	0.0929374167404182	0.200043634325866	989	403	0.0169158335141037	0.088243356575668	6.47430509362271	13215000	92
20220611 233643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	124	TRUE	0.299288204554821	0.320446778395319	7852	1005	0.0137743146708128	0.915836334387215	86.359568817395	13300000	93
20220611 233716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	254	TRUE	0.08069505634778	0.469407700325872	7999	520	0.0144308964289148	1.78944702674166	68.785153678967	13465000	94
20220611 233803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	411	TRUE	0.0245675100372869	0.200711766455019	7925	420	0.0166320497434324	0.110990034000506	0.303321332804141	13429000	95
20220611 233815	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	27	TRUE	0.225992450407359	0.253182476509198	610	386	0.013283756490751	3.30378637895857	1.32293171699566	11923000	96
