fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220611 230321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.144130475015496	0.284760331418365	713	295	0.0299010799863027	9602000	11
20220611 230353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0449965694270795	0.546630344791338	3040	426	0.0451807795441709	8890000	12
20220611 230402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	10	TRUE	0.197741583463503	0.755573094338179	2308	79	0.0133899184472587	12217000	13
20220611 230409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.282141235804767	0.800527005633339	6818	230	0.0460113289154833	7774000	14
20220611 230424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.125751810414833	0.650333926780149	5475	645	0.0268340459098302	11812000	15
20220611 230434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.238236710556434	0.995152816409245	1745	940	0.0367598655478408	9104000	16
20220611 230530	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	355	TRUE	0.0207201237197733	0.271356175411493	7882	24	0.0209655191594114	12949000	17
20220611 230540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.215772208558046	0.393018414350227	6701	565	0.0482749534154815	8365000	18
20220611 230554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.246070730277919	0.323285842193291	1223	807	0.00931763122110472	11568000	19
20220611 230610	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.0932689644467318	0.854629838233814	1166	214	0.0416173991790856	9091000	20
20220611 230631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0800873442107582	0.258712955812988	4597	106	0.0145021359431943	13434000	21
20220611 230809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	722	TRUE	0.010004423811399	0.266019524171407	4771	1021	0.0112358961930654	13126000	22
20220611 230827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	116	TRUE	0.088278952365921	0.20066705520561	4214	799	0.0170189959429525	13318000	23
20220611 231008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	791	TRUE	0.0107326216969559	0.325138303132297	4201	16	0.0202550869659962	13153000	24
20220611 231027	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	125	TRUE	0.22669707419106	0.385028140413625	4185	279	0.00857990913472763	11864000	25
20220611 231151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	522	TRUE	0.0100235559815362	0.314718532466334	6193	428	0.0156417950251707	13670000	26
20220611 231359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1068	TRUE	0.0100164904953648	0.319147460408764	7012	934	0.0158608140153583	13558000	27
20220611 231538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	606	TRUE	0.0100035327163652	0.413249436344365	5178	717	0.0153324608035667	13432000	28
20220611 231718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1000	TRUE	0.012796410302272	0.20290338624073	6763	142	0.0147120626021248	13187000	29
20220611 231817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	496	TRUE	0.016929867538223	0.200816931171283	6244	488	0.0191236538854912	13488000	30
20220611 231840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0601940377961471	0.401171580025972	7979	515	0.0163248780088581	13300000	31
20220611 231901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0610312562321701	0.404188912942319	6101	340	0.0167681350351315	13539000	32
20220611 231927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	199	TRUE	0.068225930730067	0.246342905185961	6123	1023	0.0156198947579573	13238000	33
20220611 232107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	644	TRUE	0.0101941648278638	0.333020061090197	4510	384	0.0156865998475664	13708000	34
20220611 232212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	554	TRUE	0.0100957235018363	0.856825445906237	6987	449	0.0158449230294087	12992000	35
20220611 232424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1143	TRUE	0.0100369032800142	0.239793401624329	4867	375	0.0164325019464008	13391000	36
20220611 232524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0178376376408049	0.419144570528789	4010	439	0.0143931429516407	13460000	37
20220611 232712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	730	TRUE	0.0105909063601637	0.341133963314792	6798	579	0.0187614570726273	13188000	38
